Lineage	Gene
Arthropoda	84576at6656
Arthropoda	85574at6656
Arthropoda	98755at6656
Arthropoda	2456at6656
Arthropoda	81650at6656
Arthropoda	17128at6656
Arthropoda	123035at6656
Arthropoda	139744at6656
Arthropoda	98251at6656
Arthropoda	134835at6656
Arthropoda	151436at6656
Arthropoda	13051at6656
Arthropoda	101359at6656
Arthropoda	135065at6656
Arthropoda	115986at6656
Arthropoda	120047at6656
Arthropoda	55953at6656
Arthropoda	36374at6656
Arthropoda	158194at6656
Arthropoda	140461at6656
Arthropoda	133949at6656
Arthropoda	104604at6656
Arthropoda	42819at6656
Arthropoda	125452at6656
Arthropoda	26734at6656
Arthropoda	117173at6656
Arthropoda	21385at6656
Arthropoda	103207at6656
Arthropoda	133362at6656
Arthropoda	59193at6656
Arthropoda	6453at6656
Arthropoda	19104at6656
Arthropoda	140874at6656
Arthropoda	97865at6656
Arthropoda	51364at6656
Arthropoda	12174at6656
Arthropoda	29237at6656
Arthropoda	106466at6656
Arthropoda	148851at6656
Arthropoda	119012at6656
Arthropoda	78844at6656
Arthropoda	16220at6656
Arthropoda	133735at6656
Arthropoda	57624at6656
Arthropoda	124282at6656
Arthropoda	119541at6656
Arthropoda	129675at6656
Arthropoda	125127at6656
Arthropoda	39821at6656
Arthropoda	74836at6656
Arthropoda	94473at6656
Arthropoda	47967at6656
Arthropoda	115229at6656
Arthropoda	77688at6656
Arthropoda	80348at6656
Arthropoda	80948at6656
Arthropoda	141859at6656
Arthropoda	135107at6656
Arthropoda	59084at6656
Arthropoda	48466at6656
Arthropoda	56449at6656
Arthropoda	6563at6656
Arthropoda	105099at6656
Arthropoda	27655at6656
Arthropoda	24573at6656
Arthropoda	78695at6656
Arthropoda	120875at6656
Arthropoda	108162at6656
Arthropoda	18036at6656
Arthropoda	124720at6656
Arthropoda	52320at6656
Arthropoda	141804at6656
Arthropoda	22468at6656
Arthropoda	117843at6656
Arthropoda	83755at6656
Arthropoda	65949at6656
Arthropoda	131751at6656
Arthropoda	107226at6656
Arthropoda	151111at6656
Arthropoda	94263at6656
Arthropoda	156081at6656
Arthropoda	101829at6656
Arthropoda	131516at6656
Arthropoda	28380at6656
Arthropoda	105457at6656
Arthropoda	106470at6656
Arthropoda	72857at6656
Arthropoda	155285at6656
Arthropoda	116608at6656
Arthropoda	93152at6656
Arthropoda	108702at6656
Arthropoda	42842at6656
Arthropoda	140197at6656
Arthropoda	6820at6656
Arthropoda	137197at6656
Arthropoda	43774at6656
Arthropoda	84149at6656
Arthropoda	31119at6656
Arthropoda	156305at6656
Arthropoda	127511at6656
Arthropoda	90928at6656
Arthropoda	83164at6656
Arthropoda	117399at6656
Arthropoda	135994at6656
Arthropoda	48836at6656
Arthropoda	31333at6656
Arthropoda	105364at6656
Arthropoda	88711at6656
Arthropoda	112328at6656
Arthropoda	6715at6656
Arthropoda	130363at6656
Arthropoda	86889at6656
Arthropoda	8495at6656
Arthropoda	75692at6656
Arthropoda	7210at6656
Arthropoda	129131at6656
Arthropoda	81950at6656
Arthropoda	98821at6656
Arthropoda	149796at6656
Arthropoda	140076at6656
Arthropoda	64046at6656
Arthropoda	154133at6656
Arthropoda	1885at6656
Arthropoda	138401at6656
Arthropoda	124730at6656
Arthropoda	125210at6656
Arthropoda	20093at6656
Arthropoda	46437at6656
Arthropoda	22364at6656
Arthropoda	43245at6656
Arthropoda	149819at6656
Arthropoda	47500at6656
Arthropoda	131921at6656
Arthropoda	123793at6656
Arthropoda	77197at6656
Arthropoda	166479at6656
Arthropoda	120445at6656
Arthropoda	147657at6656
Arthropoda	112360at6656
Arthropoda	44504at6656
Arthropoda	123409at6656
Arthropoda	157879at6656
Arthropoda	107615at6656
Arthropoda	88051at6656
Arthropoda	121894at6656
Arthropoda	63461at6656
Arthropoda	117335at6656
Arthropoda	68731at6656
Arthropoda	23429at6656
Arthropoda	131642at6656
